,ctx_switches,interrupts,soft_interrupts,syscalls
0,927560934,621155130,0,3814362663
1,928033257,621433384,0,3815592027
2,928224373,621546181,0,3816140963
3,928481764,621702118,0,3816827589
4,928659315,621807058,0,3817365576
5,928780271,621885442,0,3817662881
6,929996003,622705655,0,3821201787
7,930187262,622820983,0,3821737012
8,930443843,622971645,0,3822504687
9,930632764,623088802,0,3823002548
10,930857655,623230318,0,3823656159
11,931041814,623349343,0,3824172320
12,931283902,623492069,0,3824794997
13,931502202,623623772,0,3825689828
14,931539653,623645880,0,3825816802
15,931580360,623668645,0,3825934248
16,931717223,623755950,0,3826288967
17,931735849,623767110,0,3826348879
18,931762603,623782718,0,3826427327
19,931973630,623904090,0,3826991234
20,932012609,623926236,0,3827115945
21,932041145,623943798,0,3827201043
22,932339572,624144484,0,3828379000
23,932339991,624144724,0,3828383793
24,932341436,624146245,0,3828396632
25,932340622,624145727,0,3828389832
26,932519802,624251941,0,3828907633
27,932521029,624252811,0,3828915686
28,932524370,624254761,0,3828927529
29,932538056,624263221,0,3828961997
30,934163585,625265950,0,3833005726
31,934164688,625266558,0,3833012080
32,934378158,625393280,0,3833577554
33,934558167,625501057,0,3834003967
34,934776730,625627286,0,3834597712
35,934799736,625640336,0,3834685834
36,934909454,625702053,0,3834971299
37,935037455,625776732,0,3835313084
38,935057204,625788162,0,3835368996
39,936656275,626708302,0,3839416315
40,936669904,626716343,0,3839458086
41,936934267,626867845,0,3840041462
42,937157082,626996498,0,3840628014
43,937651691,627294454,0,3842191813
44,937689640,627317065,0,3842346685
45,937830013,627400379,0,3842675310
46,937861577,627419220,0,3842760459
47,938038072,627521450,0,3843212278
48,938071536,627541168,0,3843327145
49,938958031,628074749,0,3845653653
50,939125719,628174194,0,3846064806
51,947209641,633077731,0,3864809890
52,947976269,633549885,0,3866963454
53,948076150,633607311,0,3867303462
54,948185837,633671661,0,3867585669
55,948248253,633708515,0,3867755567
56,948416576,633802852,0,3868240416
57,948472956,633836196,0,3868407430
58,960801912,641634775,0,3906245769
59,960961124,641730701,0,3906861788
60,961202929,641871103,0,3907650377
61,963527546,643293407,0,3915120428
62,963682846,643388343,0,3915691779
63,970679624,647728994,0,3937641412
64,970683067,647730971,0,3937658136
65,970826697,647816836,0,3938133312
66,970830360,647818922,0,3938148123
67,970997294,647916428,0,3938620386
68,971000930,647918453,0,3938636413
69,971725104,648364358,0,3941248614
70,971787128,648401297,0,3941459718
71,971791697,648404684,0,3941479958
72,971849260,648440279,0,3941677630
73,971854168,648443071,0,3941697085
74,971910851,648476524,0,3941891815
75,971915208,648478997,0,3941911446
76,971985351,648520350,0,3942154941
77,971990438,648523271,0,3942180618
78,972053637,648560844,0,3942400528
79,972058353,648563489,0,3942423063
80,972122793,648601590,0,3942627002
81,972127807,648604380,0,3942647322
82,972232982,648665003,0,3942951465
83,972314212,648735462,0,3943220749
84,977716900,652228806,0,3959933118
85,980473263,653992303,0,3968815982
86,982712032,655333126,0,3977110580
